C6F7BCF02060BB3F: Estadio Municipal de Marbella, Marbella (7300)
7B9CC07CF7FE2BF7: Estadio Ciudad de Puertollano, Puertollano (7240)
863968939D4D5165: Estadio Nuevo Mirador, Algeciras (7200)
518E6A12394C514A: Estadi Nou Sardenya, Barcelona (7000)
6A7508A7B7CE1D97: Estadio Municipal El Val, Alcala de Henares (7000)
99832CD27DAC5D58: Estadio La Constitucion, Yecla (7000)
13989465E7438075: Estadio Ciudad Deportiva Sevilla, Sevilla (7000)
4C5B0CE313E92498: Estadio Municipal Anduva, Miranda de Ebro (6900)
A9950AEFD200D096: Estadio Nueva Fuensata, Cuenca (6700)
9722715C28FCDD89: Estadio Alfredo di Stefano, Madrid (6512)
271EBFAE9C1E75EA: Estadio La Albuera, Segovia (6500)
618070190CAC5594: Estadio Alfonso Murube, Ceuta (6500)
C168FE3D80C48526: Estadio Feixa Llarga, L'Hospitalet de Llobregat (6400)
C7F27368752BC358: Ciutat Esportiva Dani Jarque, Barcelona (6000)
CF7D058277EFDFC5: Estadio El Malecon, Torrelavega (6000)
C9137FE0F6DFDFC0: Ciudad Deportiva Lanzarote, Arrecife (6000)
D46D44A44BDD10E6: Estadio Adolfo Suarez, Avila (6000)
843F07C7557737C9: Estadio Vicente Garcia, Torrevieja (6000)
F7616D9419B7DD08: Estadio Senora de la Caridad, Villarrobledo (6000)
355736CDEF9C9276: Estadio Loinaz, Beasain (6000)
FCB8A8B5D130B184: Estadio O Couto, Ourense (5659)
10A0CFD6B99A158F: Estadio Virgen de Las Nieves, Santa Cruz de la Palma (5500)
664AC5B98195B50F: Estadio Salto del Caballo, Toledo (5500)
1D588C1B5ED7B431: Estadio Nuevo Roman Suarez Puerta, Aviles (5500)
6B104DBDB4AC173C: Estadio Fernando Torres, Fuenlabrada (5400)
966514FFF5B2E4AB: Estadio El Montecillo, Aranda de Duero (5000)
A34AC13BB31C1EB9: Estadio Gal, Irun (5000)
E480326389B7D20F: Estadio Municipal San Pedro, San Pedro de Alcantara (5000)
D9AC487140523423: Estadio Municipal Santo Domingo, Alcorcon (5000)
DD052743D3B6B8B0: Estadio El Prado, Talavera de la Reina (5000)
67414576B3FB7596: Estadio Gazituaga, Zamudio (5000)
8F219904CCF2AB47: Estadio As Eiroas, Carballo (5000)
F79A1B69B1CA620C: Estadio El Clariano, Ontinyent (5000)
312CF73956538239: Estadio Los Arcos, Orihuela (5000)
1E831BEE94B5B322: Estadio El Palmar, Sanlucar de Barrameda (5000)
2DEDD05A5D20B26A: Camp Nou Municipal, Reus (5000)
0AFA393C812F0E11: Estadio Polideportivo Municipal, Almansa (5000)
6CBCF33C1DA6F59C: Estadio Los Prados, Parla (5000)
B4770F7156C6938B: Estadio Pinilla, Teruel (5000)
09E80CD1953373B0: Estadio Feliu i Codina, Barcelona (5000)
05F57BCE94F3B89A: Estadio Silvestre Carillo, Santa Cruz de la Palma (5000)
6E65A2A971CBB1E8: Ciudad Deportiva Luis del Sol, Sevilla (5000)
81D9E19315DCBE7D: Estadio Romero Cuerda, Villanueva de la Serena (5000)
6FD99E6A1EC8E8DD: Estadio El Collao, Alcoy (5000)
F3005AFDF4735149: Estadio Ciudad Deportiva, Getafe (5000)
3EE41A9321A22AA1: Estadio Miramar, Luanco (5000)
39761ADE899D7C65: Estadio Pedro Escartin, Guadalajara (5000)
E2703A3069CEF9DD: Estadio Mundial 82 Catarroja, Catarroja (5000)
6E4DDF85ECCD712B: Estadi Municipal d'Olot, Olot (5000)
06B17F6734E59330: Nuevo Estadio El Mauli, Antequera (5000)
2338D862BE2C6B1A: Estadio La Bobila, Gava (5000)
A5B75FE0EAD4E917: Estadio Ciudad de Lucena, Lucena (4500)
394571F36E34F771: Estadio San Pablo, Ecija (4500)
E8AA6F03EBBB17BB: Estadio Espinedo, O Carballino (4500)
C33627E8E7F1463D: Estadio Municipal Lepe, Lepe (4500)
98797B0B9CDB01F4: Estadio Municipal, Vecindario (4500)
325573F9EB3937F6: Estadio Municipal Barreiro, Vigo (4500)
F4FE922EFD519826: Estadio La Planilla, Calahorra (4200)
6F309022E2B9C536: Estadio Nuevo Pepico Amat, Elda (4036)
54D674CE74C13138: Estadio Ganzabal, La Felguera (4024)
430703E1FA94CD79: Estadio Paterna, Valencia (4000)
D3E7A776CFB9F0F4: Estadio Antonio Dominguez Alfonso, Arona (4000)
D34D467C9B2E2EEF: Estadio El Mazo, Haro (4000)
08DB057527A27DC1: Estadio Antiguo Canodromo, Carabanchel (4000)
F93B027EF6964EDD: Camp Nou de Morvedre, Sagunto (4000)
799B98A89023B7A9: Estadio El Carmen, Sarinena (4000)
8E6F1B4377106F90: Estadio Tajonar, Pamplona (4000)
6F9ABA747FC75CBA: Estadio Cerro del Espino, Madrid (3865)
61DEC194410E6165: Estadio Pepe Goncalves, Las Palmas (3500)
F3E55D534D331554: Estadio Ellakuri, Laudio (3500)
830552B27A1C8839: Estadio Fadura, Getxo (3500)
E60DA0C0510BEFF5: Estadio Sarriena, Leioa (3500)
A8591B9146E56692: Estadio Merkatondoa, Estella (3500)
2DB54EECBE88F5F2: Estadio Polideportivo Municipal de Dolores de Pacheco, Murcia (3200)
312241DF47C2898E: Estadio Tabira, Durango (3000)
2FF40AB47C9BB6EE: Estadio Mareo, Gijon (3000)
01BE573BEFB4EE59: Estadio Camilo Cano, La Nucia (3000)
A1AB8209346EB670: Estadio Urbieta, Gernika (3000)
F086D2553DD781C8: Estadio Vivar Tellez, Velez-Malaga (3000)
DAF45D1A26378833: Estadio Vicente Sanz, Don Benito (3000)
581EBE25FBC8C254: Estadio Juan Carlos I, Madrid (3000)
27496515A21B1949: Estadio El Rubial, Aguilas (3000)
E50EDD1BC7650801: Estadio La Mata, Candas (3000)
4EE8DEFAB001FB65: Ciudad Deportiva, Plasencia (3000)
D8C4D7E5D28E0469: Estadio La Hoya, Jumilla (3000)
42BFFAA0DE6019DA: Estadio Luchan, Ejea de los Caballeros (3000)
4A7CBD7CAA178C1B: Estadio Municipal de Arroyo de la Luz, Arroyo de la Luz (3000)
819B5B088C5FEBB8: Estadio El Requexon, Oviedo (3000)
4E78C2A2B6C61328: Ciudad Deportiva Villarreal CF, Villarreal (3000)
7BF6D500EBF4A4FC: Estadio Pistas del Helmantico, Salamanca (3000)
0E4957935F3B0A97: Estadio Puntales, Cadiz (3000)
7053D7F2F071702D: Estadio Urritxe, Amorebieta-Etxano (3000)
