04DCFA6CBA666335: Grenzlandstadion, Monchengladbach (10000)
FE26D213095908FA: Sportpark Husterhohe, Pirmasens (10000)
FBAAF79E3D34E99A: Stadion Rote Erde, Dortmund (9999)
AA3A90742822BAA7: Grummi-Arena, Neumunster (9999)
90E5BC0DE5363B96: Paul-Janes-Stadion, Dusseldorf (8698)
AF7FE5B3470D4845: Au-Stadion, Balingen (8500)
ED82649B1BD8B364: Stadion am Schonbusch, Aschaffenburg (8000)
D8065A27B2B5DFF8: Volksstadion Greifswald, Greifswald (8000)
4B6B9C923FAFF044: Albert-Kuntz-Sportpark, Nordhausen (8000)
583C2B2DB915F904: Friedrich-Ebert-Stadion, Hildesheim (8000)
6016B38067DC4078: Jadestadion, Wilhelmshaven (7500)
4D3717098A7CCA9A: Embdena-Stadion, Emden (7200)
21C5972B6A1A4157: Parkstadion, Neustrelitz (7000)
EAA794E170C42019: Dietmar Hopp, Sinsheim (6350)
1891838CD8CD3024: TSV Stadion, Rosenheim (6000)
0BEDD538ABA2113D: ConnectM-Arena, Lotte (6000)
915303EFEF213B68: Willhelm-Langrehr-Stadion, Garbsen (6000)
AEF5DEF595232EC4: Muhlenholzweg Stadion, Hannover (6000)
DD8356363EDD6058: EWR-Arena, Worms (5724)
913A3744DBE2092E: Franz-Kremer-Stadion, Koln (5457)
3E5519C853B2D9CD: Moslestadion, Freiburg im Breisgau (5400)
036D97FD9A25975A: Waldstadion an der Kaiserlinde, Spiesen-Elversberg (5305)
A5546D444EAD990A: Bluechip-Arena, Meuselwitz (5260)
CDA087EBE3F4E568: Fuchs-Park-Stadion, Bamberg (5200)
9DFD880B53B2821B: Memminger Arena, Memmingen (5100)
5F1D477A6821F256: Edmund-Plambeck-Stadion, Norderstedt (5068)
3E04303B5A4257BF: Amateurstadion, Berlin (5050)
328E56A54C1C1CBF: Stadion an der Poststrasse, Verl (5001)
78401E6A05E51A3A: S-Arena, Goslar (5001)
F95649AE0E9878F3: TimePartner Arena, Cloppenburg (5001)
36103ED9FDA82753: Waldstadion Beeck, Wegberg (5000)
3F771C0EBD43DC86: Stadion Mullerwiese, Bautzen (5000)
FC5B302EC8CC0787: Vogelgesang Stadion, Rathenow (5000)
CDCBE8920934FC20: Westpfalzstadion, Zweibrucken (5000)
AE7949CBEAC6B92A: VfB Stadion, Auerbach (5000)
6739D7059D921DA7: Waldstadion, Giessen (4999)
614C9A9EB44FE5C5: Alfred-Kunze-Sportpark, Leipzig (4999)
54B701762DC4AB3E: Friedensstadion, Halberstadt (4999)
2E12D6617553A585: Stadion zur Sonnenblume, Velbert (4702)
06E2224B01162BBD: Sportplatz Waldsportstatten, Rehden (4350)
FEEDC623F2E0979F: Stadion Lichterfelde, Berlin (4300)
0AD95E4BEDBD75E4: Stadion am Waldschlosschen, Lippstadt (4250)
9FA540D00F9FA242: Stadion am See, Garching (4000)
54BF2CDA5802AD39: Herkules-Arena im Breitenbachtal, Kaan-Marienborn (4000)
446E2F5C5730B7D4: Weserstadion Platz 11, Bremen (4000)
3D725F520ABE3B84: Herrenwaldstadion, Stadtallendorf (4000)
39B33C8F371A9A79: Panoramastadion, Remchingen (3800)
16956D9CDF2E1CE9: Sportforum Sojus 31, Zwickau (3615)
4D7748C9A04073A5: Jahnstadion, Rheda-Wiedenbruck (3500)
1747B408B0CE8149: Georg-Weber-Stadion, Rain am Lech (3400)
AE8DA5132950A7B7: PCC-Stadion, Duisburg (3260)
F4E239FF7E3AC2B9: Ulrich-Haberland-Stadion, Leverkusen (3200)
7BC5DF3AB4F4A624: Sportpark Heimstetten, Heimstetten (3100)
3099BA1F6394FF17: Holzwaren-Simundt-Kampfbahn Sportpark, Bischofswerda (3000)
6F0583BE15823134: Sportanlage Egerstorf, Barsinghausen (3000)
58920869DF009542: Sparkassen-Arena, Neugersdorf (3000)
4CCF22EDF3BDD25B: Stadion Flugplatz, Lubeck (3000)
937D0FDF74EA3A53: Werner-Seelenbinder-Stadion, Luckenwalde (3000)
3B3FF26F6D6E0892: Pulverwaldkampfbahn Stadion, Erndtebruck (3000)
E46E3706A2190E05: Charly Mai Sportanlage, Furth (3000)
0101A7105FF6C009: Werner-Seelenbinder-Sportpark, Berlin (3000)
745E5CF96E0F34F0: Vohlin-Stadion, Illertissen (3000)
CB93A483F71857F4: FC-Astoria-Stadion, Walldorf (3000)
7381EC749611B13C: Stadion an der Reichertshausener Strasse, Pipinsried (2500)
75AD432AF4F577B9: Manfred-Werner-Stadion, Flensburg (2500)
907F0A0F6A96D8FA: Stadion Altglienicke, Berlin (2500)
F98EF11D16555606: Kehdinger Stadion, Drochtersen (2500)
71708F9ADCB0978E: Sportanlage Reuthinger Weg, Passau (2500)
E7C06B250423E103: Hacker-Wiehenstadion, Rodinghausen (2489)
4AA727EB4D146CE8: Sportplatz Romerstrasse, Straelen (2300)
BC8113FD793D06E3: Liqui-Moly-Stadion, Eichstatt (2090)
77D13106DD2397E2: Heinrich-Langeloh-Platz, Bardowick (2000)
6FB00B0347F2598C: Friesenstadion, Furstenwalde/Spree (2000)
FCF435406655A689: KrayArena, Essen (1500)
E511B5000655924A: Sportplatz Spielberg, Karlsbad (1500)
67024200A3701A78: 53acht-Arena, Edewecht (1500)
4933AF2EBD4A8199: Lupo-Stadion, Wolfsburg (1500)
BC1C73B1AC7D0BF4: B-Platz Eintracht Stadion, Breunschweig (1300)
6837D2662C3A71D7: Sinalco-Arena, Kiel (1200)
E7A5B23DA4A2F6A1: SIBRE-Sportpark, Steinbach (1000)
71C79022A19D1AB9: Sportpark Dreieich, Dreieich (1000)
987AB845FB51060A: Sportplatz Braunsberg, Herkenrath (1000)
55AF39CA9D8A267F: Paul-Hauenschild Sportplatze, Norderstedt (1000)
33E4C852FC5328F8: Neumuehle Stadion, Pohleim (900)
