541F0005BF7E8483: Estadio Municipal Nuno Alvares Pereira, Serta (4500)
8C6A0FE64C4D8DF4: Estadio Municipal de Quarteira, Quarteira (4000)
3FC8E3B594574FA7: Estadio da Devesas, Galegos (4000)
41F78C3875D76D94: Estadio do Futebol Clube de Vizela, Vizela (3500)
B2286C132E3A6ABE: Parque Soares dos Reis, Vila Nova de Gaia (3500)
364D007F1B864DF1: Estadio do Real SC, Queluz (3500)
1E32838B3A621CDA: Estadio Joaquim Coelho da Rocha, Sobrado (3500)
70B82AE06D9CFAF6: Estadio de Ribes, Santa Maria de Oliveira (3500)
642D55ACF5DF6256: Estadio Municipal Jose Martins Vieira, Almada (3500)
4196A651BB97E099: Estadio da Portelinha, Pedras Salgadas (3500)
84FA2DAD96BA80CB: Estadio Sao Sebastiao, Mirandela (3500)
E9AD460B068295F7: Campo Municipal da Nogueira, Santa Cruz (3300)
E36B885CB9AFCC61: Estadio do SG Sacavenense, Sacavem (3200)
B8BE78FAAEED9D82: Cidade Desportiva de Paredes, Paredes (3001)
3087A3749BA1D9F6: Campo da Liberdade, Montijo (3000)
420EAE7E31269D6C: Estadio Dr. Jose de Matos, Viana do Castelo (3000)
FCF88321C13BB4CE: Complexo Desportivo da Covilha, Covilha (3000)
137199807BDFA4ED: Campo Jogos D. Maria Teresa, Sao Martinho de Sande (3000)
D7F7BCF40BCA1EE7: Parque Desportivo do Arnado, Sao Torcato (3000)
9145A7A8FA855097: Estadio Santo Antonio, Nogueira do Cravo (3000)
192B18A7EA815015: Estadio Carlos Osorio, Oliveira de Azemeis (3000)
97BE2B8B176600DE: Campo Abilio Ferreira Oliveira, Sao Martinho do Campo (3000)
4AE36875C81D1792: Estadio do Sport Uniao Sintrense, Sintra (2800)
CF58C68CE6A1D33B: Caixa Futebol Campus, Lisboa (2720)
6A42031E646287AC: Campo Doutor Mario Silveira, Mafra (2500)
54ACE9D3C2399ADE: Estadio Municipal de Camara de Lobos, Camara de Lobos (2500)
8F9DA1AEF3EE6A6B: Estadio Juncal Desportos, Moita (2500)
430D8B446AF07D2A: Estadio Municipal Vieira do Minho, Vieira do Minho (2500)
24BB900A02DFFD34: Estadio do Passal, Ribeirao (2500)
5B6AAAB7CE3C8F83: Campo do Cevadeiro, Vila Franca de Xira (2500)
A75F0533A2CB54A5: Estadio Joao Gualberto Arruda, Vila da Lagoa (2500)
D4F48BE037CA7398: Campo do Cruzeiro, Ponte de Lima (2500)
77D7A3EA18179E41: Estadio Municipal da Ribeira Grande, Ribeira Grande (2500)
3EF04F8207BE2238: Estadio de Sao Miguel, Gondomar (2450)
35D97D741F7A8A13: Estadio Marques da Silva, Ovar (2284)
63E46EDA8C9A3E3A: Estadio Municipal de Mondim de Basto, Mondim de Basto (2200)
940B88A3F20F6196: Estadio Alferes Pinto Ribeiro, Vila de Punhe (2100)
3FC5E61D380275B2: Complexo Desportivo de Castro Daire, Castro Daire (2001)
FD7A3FA3D81F88FB: Estadio Dr. Tavares da Silva, Estarreja (2000)
87C362A77854A13A: Complexo Desportivo S. Pedro, Carapinheira (2000)
4C412748D468A784: Estadio Germano Godinho, Pampilhosa (2000)
2712393AF2CC8604: Campo de Verderena, Barreiro (2000)
F8216E7ABAA02ECF: Campo de Jogos Santos Jorge, Pinhal Novo (2000)
622519D2FF16906B: Estadio dos Moinhos Novos, Povoa de Lanhoso (2000)
18FAAFE36395C0FE: Campo da Imaculada Conceicao, Funchal (2000)
E22EA17DE80F20FB: Estadio Bom Jesus, Ribeira Grande (2000)
C81BC0DE1F4C5980: Campo Jose da Silva Faria, Loures (2000)
E3B080AAC1F060D4: Estadio Mergulhao, Cesar (1932)
3F95563A58E63ECB: Parque Silva Matos, Santa Marinha (1800)
55D27D2259247E63: Estadio Municipal de Fatima, Fatima (1545)
D49C0531CCB74FA8: Complexo Desportivo de Nine, Vila Nova de Famalicao (1500)
812DA08B62B9F6B0: Estadio Municipal da Praia da Vitoria, Praia da Vitoria (1500)
781BA328D3429229: Campo das Minas, Argozelo (1500)
1F2868E4A67D5888: Estadio Municipal de Ponte de Sor, Ponte de Sor (1500)
E8C386839DED4DBB: Estadio Municipal de Pombal, Pombal (1300)
93BC66B5C2443659: Estadio Visconde do Vinhal, Touriz (1200)
BB3206AB9EC3A647: Complexo Desportivo de Valadares, Vila Nova de Gaia (1001)
306EC34803B08FE8: Campo Conde Sucena, Sintra (1000)
33B65CA48EB53997: Campo de Futebol do Canical, Machico (1000)
67165A7144E92ED5: Campo do Calvario, Gandra (1000)
12D599D9D8582285: Estadio da Torrinha, Olhao (1000)
3A6F4D7B09C4AE2A: Complexo Desportivo da Gafanha da Nazare, Gafanha da Nazare (1000)
00E536C64D976533: Campo de Treinos do Rio Ave FC, Vila do Conde (1000)
920DB65D67ECFA0A: Estadio Capitao Josino da Costa, Lagoa (1000)
2135AB5261591DAE: Estadio Dr. Lourenco Raimundo, Valenca (825)
230CAA0C1F410C2E: Campo Virgilio Durao, Reguengos de Monsaraz (790)
773266973C8C105C: Campo do Ventoso, Estreito (500)
7B808C47D1DB4D88: Estadio Municipal de Almancil, Almancil (500)
6892CCAD273CD555: Complexo Desportivo S. Felix da Marinha, Vila Nova de Gaia (500)
