6702C256B9153B78: Al-Maimouna Stadium, Al-Maimouna (2000)
2927FBAA3D6553A6: Dijla Stadium, Maysan (1000)
7AD641C0BC6F45CB: Uruk Stadium, Al-Muthanna (1000)
330E94F890EC9C65: Al-Taarof Stadium, Al-Rumaitha (1000)
D80B2E7278A84C36: Al-Salman Stadium, Al-Muthanna (1000)
9A0C6449131F70B7: Al-Muthanna Stadium, Al-Muthanna (1000)
E7BEB119B53E1EAE: Al-Rifai Stadium, Al-Rifai (1000)
456556D75DC6BD5E: Al Shatrah Stadium, Al-Shatrah (7500)
D77AA551185EFF5A: Al-Sadeq Stadium, Basra (1000)
DA16B44109792A1C: Safwan Stadium, Safwan (1000)
3BC3FE26C8317ED7: Al-Dair Stadium, Al-Dair (1000)
7C036FA79A06CB29: Al-Maqal Stadium, Al-Maqal (1000)
D5D1F78A5DAA6517: Al-Shabab Al-Basri Stadium, Al-Hussein (1000)
13B0DBA9727A03D0: Al-Khaleej Al-Arabi Stadium, Basra (1000)
4DEF1CC79A69066C: Al-Basra Stadium, Basra (1000)
